rating_id,dish_id,user_id,rating,review 
1,35,1,4,
2,12,1,4,
3,50,1,2,
4,4,1,3,
5,9,1,3,
6,39,1,0,
7,44,1,1,
8,8,1,3,
9,14,1,3,
10,10,1,3,
11,2,2,3,
12,14,2,2,
13,35,2,5,
14,34,2,2,
15,45,2,0,
16,50,2,5,
17,45,2,3,
18,27,2,1,
19,26,2,1,
20,38,2,4,
21,15,3,2,
22,47,3,3,
23,4,3,1,
24,45,3,5,
25,48,3,2,
26,14,3,3,
27,47,3,5,
28,47,3,5,
29,40,3,2,
30,38,3,3,
31,34,4,4,
32,27,4,5,
33,44,4,2,
34,5,4,0,
35,46,4,1,
36,10,4,1,
37,46,4,3,
38,18,4,0,
39,4,4,0,
40,18,4,0,
41,47,5,4,
42,39,5,0,
43,33,5,5,
44,7,5,3,
45,15,5,4,
46,36,5,5,
47,35,5,2,
48,39,5,3,
49,33,5,5,
50,46,5,5,
51,47,6,4,
52,39,6,0,
53,33,6,5,
54,7,6,3,
55,15,6,4,
56,36,6,5,
57,35,6,2,
58,39,6,3,